verb,3s preterit,3pl preterit,3s perfect,3pl perfect
ejeka,ejekak,ejekaket,ejekatuk,ejekatiwit
-el/sima,kielsin(ki),kielsinket,kielsintuk,kielsintiwit
e-teki,etekik,etekiket,etektuk,etektiwit
e/tiya,etishki / etiyak,etishket / etiyaket,etishtuk / etiyatuk,etishtiwit / etiyatiwit
-wajwaltza,kiwajwaltzak,kiwajwaltzaket,kiwajwaltzatuk,kiwajwaltzatiwit
-wawana,kiwawan(ki),kiwawanket,kiwawantuk,kiwawantiwit
wal/ajsi,walajsik,walajsiket,walajsituk,walajsitiwit
-wal/wika,kalwikak,kalwikaket,kalwikatuk,kalwikatiwit
wal/nesi,walneski / walnesik,walnesket / walnesiket,walnestuk,walnestiwit
wal/kisa,walkiski,walkisket,walkistuk,walkistiwit
wal/temu,waltemuk,waltemuket,waltemutuk,waltemutiwit
-wan/ti,kiwantij,kiwantijket,kiwantijtuk,kiwantijtiwit
-wapawa,kiwapaw(ki) / kiwapaj(ki),kiwapawket / kiwapajket,kiwapawtuk / kiwapajtuk,kiwapawtiwit / kiwapajtiwit
wej/kawi,wejkawik,wejkawket / wejkajket,wejkawtuk / wejkajtuk,wejkawtiwit / wejkajtiwit
wewej/ti,wewejtik,wewejtiket,wewejtituk,wewejtitiwit
weiya,weyki / weyyak,weyket / weyyaket,weytuk / weyyatuk,weytiwit / weyyatiwit
weli/ti,welitik,welitiket,welitituk,welititiwit
-wel/mati,kiwelmatki / kiwelmatik,kiwelmatket / kiwelmatiket,kiwelmattuk / kiwelmatituk,kiwelmattiwit / kiwelmatitiwit
-welua,kiweluj,kiwelujket,kiwelujtuk,kiwelujtiwit
wetzka,wetzkak,wetzkaket,wetzkatuk,wetzkatiwit
wiksi,wiksik,wiksiket,wiksituk,wiksitiwit
-wiwika,kiwiwikak,kiwiwikaket,kiwiwikatuk,kiwiwikatiwit
-wiwita,kiwiwitzki / kiwiwitak,kiwiwitzket / kiwiwitaket,kiwiwitztuk / kiwiwitatuk,kiwiwitztiwit / kiwiwitatiwit
-wilana,kiwilan(ki),kiwilanket,kiwilantuk,kiwilantiwit
-wipana,kiwipan,kiwipanket,kiwipantuk,kiwipantiwit
-witeki,kiwitek / kiwitekik,kiwitekket / kiwitekiket,kiwitektuk,kiwitektiwit
wiyuni,wiyunki / wiyunik,wiyunket / wiyuniket,wiyuntuk,wiyuntiwit
-iksa,kiksak,kiksaket,kiksatuk,kiksatiwit
ijsika,ijsikak,ijsikaket,ijsikatuk,ijsikatiwit
ijkupi,ijkupki / ijkupik,ijkupket / ijkupiket,ijkuptuk,ijkuptiwit
-ijiya,kijishki / kijiyak,kijishket / kijiyaket,kijishtuk / kijiyatuk,kijishtiwit / kijiyatiwit
-ijmati,kijmatki / kijmatik,kijmatket / kijmatiket,kijmattuk / kijmatituk,kijmattiwit / kijmatitiwit
-ijnekwi,kijnek,kijnekket,kijnektuk,kijnektiwit
-ijputza,kijputzki,kijputzket,kijputztuk,kijputztiwit
-ijtani,kijtan(ki),kijtanket,kijtantuk,kijtantiwit
-ijsuta,kijsutki / kijsutak,kijsutket / kijsutaket,kijsuttuk / kijsutatuk,kijsuttiwit / kijsutatiwit
ilu/ti,ilutik,ilutiket,ilutituk,ilutitiwit
-ilputza,kilputzki / kilputzak,kilputzket / kilputzaket,kilputztuk / kilputzatuk,kilputztiwit / kilputzatiwit
-inaya,kinashki / kinayak,kinashket / kinayaket,kinashtuk / kinayatuk,kinashtiwit / kinayatiwit
-itwa,kitwak,kitwaket,kitwatuk,kitwatiwit
-i/tia,kitij,kitijket,kitijtuk,kitijtiwit
ikwsi,ikwsik,ikwsiket,ikwsituk,ikwsitiwit
ishwa,ishwak,ishwaket,ishwatuk,ishwatiwit
-ma/ajsi,kimaajsik,kimaajsiket,kimaajsituk,kimaajsitiwit
-ma/kawa,kimakaw / kimakaj,kimakawket / kimakajket,kimakawtuk / kimakajtuk,kimakawtiwit / kimakajtiwit
machia,machij,machijket,machijtuk,machijtiwit
-ma/kwepa,kimakwepki,kimakwepket,kimakweptuk,kimakweptiwit
-majsewa,kimajsewki / kimajsejki,kimajsewket / kimajsejket,kimajsewtuk / kimajsejtuk,kimajsewtiwit / kimajsejtiwit
-majmaka,kimajmakak,kimajmakaket,kimajmakatuk,kimajmakatiwit
majmani,majmanki / majmanik,majmanket / majmaniket,majmantuk,majmantiwit
-majtzul/kwi,kimajtzulkwij,kimajtzulkwijket,kimajtzulkwijtuk,kimajtzulkwijtiwit
-malwia,kimalwij,kimalwijket,kimalwijtuk,kimalwijtiwit
-malina,kimalin(ki),kimalinket,kimalintuk,kimalintiwit
-mamati,kimamatki / kimamatik,kimamatket / kimamatiket,kimamattuk / kimamatituk,kimamattiwit / kimamatitiwit
-ma/nutza,kimanutzki,kimanutzket,kimanutztuk,kimanutztiwit
-ma/pata,kimapatki / kimapatak,kimapatket / kimapataket,kimapattuk / kimapatatuk,kimapattiwit / kimapatatiwit
-ma/piki,kimapik / kimapikik,kimapikket / kimapikiket,kimapiktuk,kimapiktiwit
-ma/piya,kimapishki / kimapiyak,kimapishket / kimapiyaket,kimapishtuk / kimapiyatuk,kimapishtiwit / kimapiyatiwit
ma/kisa,makiski,makisket,makistuk,makistiwit
-ma/teka,kimatekak,kimatekaket,kimatekatuk,kimatekatiwit
-ma/teki,kimatek / kimatekik,kimatekket / kimatekiket,kimatektuk,kimatektiwit
-ma/tia,kimatij,kimatijket,kimatijtuk,kimatijtiwit
ma/tuka,matukak,matukaket,matukatuk,matukatiwit
-mayawi,kimayaw / kimayaj / kimayawik,kimayawket / kimayajket / kimayawiket,kimayawtuk / kimayajtuk / kimayawituk,kimayawtiwit / kimayajtiwit / kimayawitiwit
mayana,mayanki,mayanket,mayantuk,mayantiwit
-melawa,kimelaw(ki) / kimelaj(ki),kimelawket / kimelajket,kimelawtuk / kimelajtuk,kimelawtiwit / kimelajtiwit
milini,milinki / milinik,milinket / miliniket,milintuk,milintiwit
-mil/tia,kimiltij,kimiltijket,kimiltijtuk,kimiltijtiwit
mimiki,mimikik,mimikiket,mimiktuk,mimiktiwit
m-iyeshi,miyesh(ki) / miyeshik,miyeshket / miyeshiket,miyeshtuk / miyeshituk,miyeshtiwit / miyeshitiwit
mu-ana,muanki,muanket,muantuk,muantiwit
mu-kawa,mukawki,mukawket,mukawtuk,mukawtiwit
mu-chiwa,muchiw(ki) / muchij(ki),muchiwket / muchijket,muchiwtuk / muchijtuk,muchiwtiwit / muchijtiwit
